CALL SCARICO('MURATO48','aaaa','51','22','A1L02','la dietro','2015-01-01','2015-01-21','',@myvar);
CALL SCARICO('MURATO48','ggggggg','48','34','A1L09','fggggdg','2015-01-01','2015-01-21','',@myvar);
CALL SCARICO('MURATO48','ggggggg','76','1','A1L11','fggggdg','2015-01-01','2015-01-21','',@myvar);
CALL SCARICO('MURATO48','ggggggg','76','1','A1L11','fggggdg','2015-01-01','2015-01-21','',@myvar);
CALL SCARICO('MURATO48','ggggggg','49','1','A1L11','fggggdg','2015-01-01','2015-01-21','',@myvar);
CALL SCARICO('MURATO48','ggggggg','49','1','A1L11','fggggdg','2015-01-01','2015-01-21','',@myvar);
CALL SCARICO('MURATO48','ggggggg','49','1','A1L11','fggggdg','2015-01-01','2015-01-21','',@myvar);
CALL SCARICO('MURATO48','ggggggg','49','1','A1L11','fggggdg','2015-01-01','2015-01-21','',@myvar);
CALL SCARICO('MURATO48','ggggggg','50','1','A2L01','fggggdg','2015-01-01','2015-01-21','',@myvar);
CALL SCARICO('MURATO48','ggggggg','50','1','A2L01','fggggdg','2015-01-01','2015-01-21','',@myvar);
CALL SCARICO('MURATO48','ggggggg','50','1','A2L01','fggggdg','2015-01-01','2015-01-21','',@myvar);
CALL SCARICO('MURATO48','ggggggg','50','1','A2L01','fggggdg','2015-01-01','2015-01-21','',@myvar);
CALL SCARICO('MURATO48','jjjjjj','48','54','A1L09','ghngfn','2015-01-09','2015-01-21','',@myvar);
CALL SCARICO('MURATO48','jjjjjj','46','54','A2L07','ghngfn','2015-01-09','2015-01-21','',@myvar);
CALL SCARICO('MURATO48','jjjjjj','51','54','A1L02','ghngfn','2015-01-09','2015-01-21','',@myvar);
CALL SCARICO('MURATO48','rrrrr','48','12','A1L09','ddddddddddd','2015-01-22','2015-01-21','sdfvdsf',@myvar);
CALL SCARICO('MURATO48','rrrrr','2','12','A2L05','ddddddddddd','2015-01-22','2015-01-21','sdfvdsf',@myvar);
CALL SCARICO('MURATO48','rrrrr','48','12','A1L09','ddddddddddd','2015-01-22','2015-01-21','sdfvdsf',@myvar);
CALL SCARICO('MURATO48','rrrrr','48','12','A1L09','ddddddddddd','2015-01-22','2015-01-21','sdfvdsf',@myvar);
CALL SCARICO('MURATO48','rrrrr','48','12','A1L09','ddddddddddd','2015-01-22','2015-01-21','sdfvdsf',@myvar);
CALL SCARICO('MURATO48','rrrrr','55','12','B1L02','ddddddddddd','2015-01-22','2015-01-21','sdfvdsf',@myvar);
CALL SCARICO('MURATO48','rrrrr','76','12','A1L11','ddddddddddd','2015-01-22','2015-01-21','sdfvdsf',@myvar);
CALL SCARICO('MURATO48','gggg','48','21','A1L09','dgdsgvdfsgv','2015-01-20','2015-01-21','',@myvar);
CALL SCARICO('MURATO48','gggg','48','21','A1L09','dgdsgvdfsgv','2015-01-20','2015-01-21','',@myvar);
CALL SCARICO('MURATO48','gggg','76','2','A1L11','dgdsgvdfsgv','2015-01-20','2015-01-21','',@myvar);
CALL SCARICO('MURATO48','gggg','48','2','A1L09','dgdsgvdfsgv','2015-01-20','2015-01-21','',@myvar);
CALL SCARICO('MURATO48','gggg','48','2','A1L09','dgdsgvdfsgv','2015-01-20','2015-01-21','',@myvar);
CALL SCARICO('MURATO48','ccccc','51','43','A1L02','vdsvv','2015-01-15','2015-01-21','sbfbf',@myvar);
CALL SCARICO('MURATO48','hhhhh','51','3','A1L02','fgwreg','2015-01-13','2015-01-21','',@myvar);
CALL SCARICO('MURATO48','rgregb','48','3','A1L09','evfv','2015-01-21','2015-01-21','',@myvar);
